序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
1,011D9032Z﹡,特征列方法引论,An Introduction to Characteristic Set Method,其它,,40/2.0,袁春明,数学与系统科学研究院
2,011D9039Z﹡,数理逻辑,Mathematical Logic,其它,,40/2.0,吴刘臻,数学与系统科学研究院
3,011D9049Z﹡,并行计算引论,Parallel Computing,其它,,40/2.0,崔涛,数学与系统科学研究院
4,011D9059Z﹡,电磁反散射问题,Inverse Electromagnetic Scattering Problems,其它,,40/2.0,刘晓东,数学与系统科学研究院
5,011D9082Z﹡,数量经济学,quantitative economics,其它,,40/2.0,杨翠红,数学与系统科学研究院
6,011D9091Z﹡,深度学习前沿进展选讲,Lectures for Frontiers in Deep Learning,其它,,20/1.0,张世华,数学与系统科学研究院
7,011D9093Z﹡,多层迭代法,Multilevel Iterative Methods,其它,,20/1.0,张晨松,数学与系统科学研究院
8,011D9094Z﹡,随机微分几何,Stochastic Differential Geometry,其它,,40/2.0,李向东,数学与系统科学研究院
9,011D9101Z﹡,李理论基础I、II,Basis of Lie theory,其它,,80/4.0,聂思安,数学与系统科学研究院
10,011D9105Z﹡,代数数论I、II,Algebraic Number Theory,其它,,80/4.0,田野,数学与系统科学研究院
11,011D9106Z﹡,代数几何I、II,Algebraic Geometry,其它,,80/4.0,付保华,数学与系统科学研究院
12,011M1001Y,抽象代数,Abstract Algebra,一级学科核心课,数学,60/3.0,唐国平,数学科学学院
13,011M1002Y,代数学Ⅰ,Algebra I,一级学科核心课,数学,60/3.0,胡永泉,数学与系统科学研究院
14,011M1003H,微分流形,Differentiable Manifolds,一级学科核心课,数学,60/3.0,吴英毅,数学科学学院
15,011M1003Y,微分流形,Differentiable Manifolds,一级学科核心课,数学,60/3.0,吴英毅,数学科学学院
16,011M1007Y,代数拓扑Ⅰ,Algebraic Topology Ⅰ,一级学科核心课,数学,60/3.0,余建明,数学与系统科学研究院
17,011M1008Y,现代复分析,Modern Complex Analysis,一级学科核心课,数学,40/2.0,邓富声,数学科学学院
18,011M1009Y,实分析,Real Analysis,一级学科核心课,数学,50/2.5,燕敦验,数学科学学院
19,011M1010H,泛函分析Ⅰ,Functional AnalysisⅠ,一级学科核心课,数学,40/2.0,孙义静,数学科学学院
20,011M1010Y,泛函分析Ⅰ,Functional AnalysisⅠ,一级学科核心课,数学,40/2.0,孙义静,数学科学学院
21,011M1011H,最优化计算方法,Computational Methods for Optimization,一级学科核心课,数学系统科学,40/2.0,王晓,数学科学学院
22,011M1012H,高等概率论,Advanced Probability,一级学科核心课,数学统计学系统科学,54/2.5,胡晓予,数学科学学院
23,011M1013H,高等数理统计,Advanced Mathematical Statistics,一级学科核心课,数学统计学系统科学（复杂系统建模与调控）,60/3.0,张三国,数学科学学院
24,011M1014H,偏微分方程概论,Introduction to Partial Differential Equations,一级学科核心课,数学系统科学,60/3.0,韩丕功,数学与系统科学研究院
25,011M1014Y,偏微分方程概论,Introduction to Partial Differential Equations,一级学科核心课,数学系统科学,60/3.0,韩丕功,数学与系统科学研究院
26,011M2001H,数值分析,Numerical Analysis,一级学科普及课,,40/2.0,王晓,数学科学学院
27,011M4006H,微分方程数值解Ⅰ,Numerical Solutions of Differential Equations Ⅰ,专业核心课,计算数学,40/2.0,张文生,数学与系统科学研究院
28,011M4008H,数值线性代数,Numerical Linear Algebra,专业核心课,计算数学,40/2.0,黄记祖,数学与系统科学研究院
29,011M4009H,数值逼近,Numerical Approximation,专业核心课,计算数学,40/2.0,许志强,数学与系统科学研究院
30,011M4012H,非参数统计,Non-parametric Statistics,专业核心课,概率论与数理统计统计学（数理统计与统计计算）,40/2.0,孙志华,数学科学学院
31,011M4013H,多元统计分析,Multivariate Statistical Analysis,专业核心课,概率论与数理统计统计学（生物与医学统计）统计学（数理统计与统计计算）,60/3.0,石坚,数学与系统科学研究院
32,011M4017Y,计算机代数,Computer Algebra,专业核心课,应用数学,60/3.0,陈玉福,数学科学学院
33,011M4020H,运筹学通论,Principles of Operational Research,专业核心课,系统理论运筹学与控制论,60/3.0,"刘克,胡旭东",数学与系统科学研究院
34,011M4021H,图论与网络算法,Graph Theory and Network Algorithm,专业核心课,运筹学与控制论,40/2.0,高随祥,数学科学学院
35,011M5002Y,微分拓扑,Differentiable Topology,专业普及课,,40/2.0,苏阳,数学与系统科学研究院
36,011M5007H,微分方程数值解Ⅱ,Numerical Solutions of Differential Equations Ⅱ,专业普及课,,40/2.0,于海军,数学与系统科学研究院
37,012M1001H,线性系统,Linear Systems,一级学科核心课,系统科学运筹学与控制论,40/2.0,李婵颖,数学与系统科学研究院
38,012M1002H,系统稳定性理论,System Stability,一级学科核心课,系统科学运筹学与控制论,40/2.0,洪奕光,数学与系统科学研究院
39,013M1003H,回归分析,Regression Analysi,一级学科核心课,概率论与数理统计统计学,60/3.0,张三国,数学科学学院
40,01MGX004H,复变函数与积分变换,Function of Complex Variable and Integral Transform,公共选修课,,40/1.5,焦晓祥,数学科学学院
41,01MGX010H,应用概率论,Applied Probability Theory,公共选修课,,60/2.0,张君玉,数学科学学院
42,01MGX021H,数学模型及其应用,Mathematical Models and Its Applications,公共选修课,,40/1.5,杨文国,数学科学学院
43,01MGX022H,常用数学软件选讲,The Use of Selected mathematical Softwares,公共选修课,,40/1.0,赵彤,数学科学学院
44,01MGX023H,实用最优化算法及其应用,Practical Optimization Algorithms and Applications,公共选修课,,40/1.5,牛凌峰,经济与管理学院
45,01MGX025H★,代数基础,Foundations of Algebra,公共选修课,,40/1.5,陈凌,数学科学学院
46,01MGX027H★,几何与拓扑基础,Foundations of Geometry and Topology,公共选修课,,40/1.5,肖良,数学科学学院
47,01MGX028H,Python科学计算与数据处理,Python for Scientific Computation and Data Analysis,公共选修课,,40/1.0,张敏洪,数学科学学院
48,021M1001H,高等量子力学（凝聚态物理）,Advanced Quantum Mechanics,一级学科核心课,物理学,60/4.0,金彪,物理科学学院
49,021M1002H,高等量子力学（理论物理）,Advanced Quantum Mechanics,一级学科核心课,物理学,60/4.0,"陈澍,周端陆",物理研究所
50,021M1004H-1,物理学中的群论,Group Theory in Physics,一级学科核心课,物理学,60/4.0,"喻明,郭璐",物理科学学院
51,021M1004H-2,物理学中的群论,Group Theory in Physics,一级学科核心课,物理学,60/4.0,"喻明,郭璐",物理科学学院
52,021M1006H,光学电磁理论及应用,Theory and Application of Electromagnetic Field in Optics,一级学科核心课,物理学,50/3.0,"鲁欣,李玉同",物理科学学院
53,021M1007H,超导物理,Superconductivity,一级学科核心课,物理学,50/3.0,"俞理,郑东宁",物理研究所
54,021M1008H,量子场论（近代物理方向）,Quantum Field Theory,一级学科核心课,物理学,60/4.0,贾宇,高能物理研究所
55,021M1009H-1,粒子物理基础,Introduction of Particle Physics,一级学科核心课,物理学,60/4.0,"吕才典,李钊",高能物理研究所
56,021M1009H-2,粒子物理基础,Introduction of Particle Physics,一级学科核心课,物理学,60/4.0,陈莹,高能物理研究所
57,021M1010H,粒子探测技术,The technology for particle detection,一级学科核心课,核科学与技术物理学,50/3.0,"胡涛,董明义",物理科学学院
58,021M1018H,理论声学I,Theoretical Acoustics 1,一级学科核心课,物理学,60/4.0,李晓东,声学研究所
59,021M1021H,表面物理,Physics of surfaces,一级学科核心课,物理学,60/4.0,"陆兴华,陈岚",物理研究所
60,021M2001H,软物质物理导论,Introduction of Soft Mater Physics,一级学科普及课,物理学,50/3.0,"厚美瑛,杨明成",物理研究所
61,021M2002H,X射线晶体学（凝聚态物理方向）,X-Ray Crystallography,一级学科普及课,物理学,50/3.0,"贺蒙,陈小龙",物理科学学院
62,021M2003H,密度泛函理论与应用,Density Functional Theory and Applications,一级学科普及课,物理学,40/2.0,张余洋,物理科学学院
63,021M2004H,量子场论（1）（理论物理方向）,Quantum Field Theory (I),一级学科普及课,物理学,50/3.0,"舒菁,晏启树",理论物理研究所
64,021M2005H,广义相对论,General Relativity,一级学科普及课,物理学,50/3.0,"田雨,蔡荣根",物理科学学院
65,021M2007H,高等物理实验（1）,Advanced Physiscs Experiments (1),实验课,,20/0.5,"林晓,刘渝珍",物理科学学院
66,021M2009H,高等激光物理学,Advanced Laser Physics,一级学科普及课,物理学,50/3.0,"奚婷婷,魏志义",物理科学学院
67,021M2013H,实验物理中的概率和统计,Probability and Statistics in Experimental Physics,一级学科普及课,物理学,40/2.0,李祖豪,高能物理研究所
68,021M2014H,原子核结构,Nuclear Structure,一级学科普及课,物理学,50/3.0,"周善贵,彭光雄",物理科学学院
69,021M2016H,现代生物物理学,Biological Physics,一级学科普及课,物理学,50/3.0,"史华林,黎明",理论物理研究所
70,021M2022H,非平衡统计物理,Nonequilibrium Statistical Physics,一级学科普及课,物理学,40/2.0,"覃绍京,周海军",理论物理研究所
71,021M2038H,高能天体物理（1）,High Energy Astrophysics I,一级学科普及课,物理学,40/2.0,张承民,国家天文台
72,021M2040H,海洋声学,Ocean Acoustics,一级学科普及课,物理学,50/3.0,吴立新,声学研究所
73,021M2045H,等离子体物理导论,Introduction to Plasma Physics,一级学科普及课,物理学,40/2.0,马石庄,地球与行星科学学院
74,021M2047H,医学超声,Medical Ultrasonics,一级学科普及课,物理学,40/2.0,林伟军,声学研究所
75,021M2048H,压电材料与压电换能器,Piezoelectric Materials and Piezoelectric Transducers,一级学科普及课,物理学,30/2.0,吴先梅,声学研究所
76,021M3001H,密度泛函理论与应用讨论班,Seminar on Density Functional Theory and Applications,一级学科研讨课,物理学,20/1.0,张余洋,物理科学学院
77,021M3002H,非平衡统计物理讨论课,Topics of Nonequilibrium Statistical Physics,一级学科研讨课,物理学,20/1.0,王正川,物理科学学院
78,021M3019H,声表面波传感技术及应用,Surface Acoustic Wave Sensing Technology and Application,一级学科研讨课,物理学,20/1.0,王文,声学研究所
79,031M1001H,天体物理中的辐射过程,Radiative Processes in Astrophysics,一级学科核心课,天文学,60/3.0,刘碧芳,国家天文台
80,031M1002H,高等天文学,Modern Astrophysics,一级学科核心课,天文学,60/3.0,姜碧沩,物理科学学院
81,031M2001H,天文学史,History of Astronomy,一级学科普及课,天文学,42/2.0,"黎耕,武家璧",国家天文台
82,031M2002H,天文科技文献阅读与写作,Literature Reading and Academic Writing,一级学科普及课,天文学,30/2.0,Roberto Soria,天文与空间科学学院
83,031M2003H,射电望远镜设计与实现,Technology and Design of Radio Telescope,一级学科普及课,天文学,48/3.0,"李建斌,刘东亮",国家天文台
84,031M4001H,星系天文学,Galactic Astronomy,专业核心课,天体物理,60/3.0,马骏,国家天文台
85,031M4002H,现代太阳物理导论,Fundamental Solar Physics,专业核心课,天体物理,60/3.0,"杨尚斌,张枚",国家天文台
86,031M4003H,行星科学导论,Fundamental Planetary Sciences,专业核心课,天体物理,60/3.0,"崔峻,惠鹤九",国家天文台
87,031M4004H,恒星大气与谱线分析,Stellar Atomospheres and Spectral Analysis,专业核心课,天体物理,60/3.0,"杜翠花,王菲鹿",国家天文台
88,031M4005H,空间天文概论,Introduction to Space Astronomy,专业核心课,天体物理,60/3.0,"魏建彦,邓劲松",国家天文台
89,031M4010H,天体测量学及其应用,Astrometry And Its Application,专业核心课,天体测量与天体力学,60/3.0,"齐朝祥,于涌",上海天文台
90,031M4011H,天文地球动力学,Astro-geodynamics,专业核心课,天体测量与天体力学,60/3.0,"王广利,黄乘利",国家天文台
91,031M4012H,时间频率理论与方法,Theory And Method Of Time & Frequency,专业核心课,天体测量与天体力学,53/3.0,"张首刚,李孝辉",国家授时中心
92,031M4014H,天文光学系统,Guide To Understand Optical Systems,专业核心课,天文技术与方法,60/3.0,"张思炯,朱永田",南京天文光学技术研究所
93,031M5001H,恒星内部结构和演化,Stellar Physics Ⅱ：Stellar Structure and Evolution,专业普及课,天体物理,42/2.0,"邓李才,毕少兰",国家天文台
94,031M5002H,核天体物理学,Nuclear Astrophysics,专业普及课,天体物理,45/2.0,何建军,国家天文台
95,031M5006H,行星遥感与应用,Planetary Remote Sensing And Application,专业普及课,天体测量与天体力学,42/2.0,"张渊智,刘建军",国家天文台
96,032M1001H,空间环境预报,Prediction of Space Environment,一级学科核心课,航空宇航科学与技术,54/3.0,"师立勤,刘四清",中国科学院国家空间科学中心
97,032M1002H,天基空间环境探测原理,Principle For Space Environment Exploration Based On Satellite,一级学科核心课,航空宇航科学与技术,54/3.0,"孙越强,白伟华",中国科学院国家空间科学中心
98,032M1003H,航天器空间环境效应,Space Enviroment Effects For Spacecraft,一级学科核心课,航空宇航科学与技术,75/4.0,"韩建伟,张振龙",中国科学院国家空间科学中心
99,032M1004H,航天器轨道姿态动力学与控制,Dynamics And Control Of Spacecraft Orbit & Attitude,一级学科核心课,航空宇航科学与技术,56/3.0,"高东,李明涛",中国科学院国家空间科学中心
100,032M2001H,空间科学概论,Space Science Introduction,一级学科普及课,航空宇航科学与技术,30/2.0,吴季,中国科学院国家空间科学中心
101,041M4003H,高等仪器分析,ADVANCED INSTRUMENTAL ANALYSIS,专业核心课,分析化学,50/3.0,"李向军,汪福意",化学科学学院
102,041M4004H,高等有机合成,Advanced Organic Synthesis,专业核心课,有机化学,50/3.0,"刘利,陈传峰",化学研究所
103,041M4006H,化学生物学,Chemical Biology,专业核心课,有机化学,50/3.0,何裕建,化学科学学院
104,041M4008H,高等高分子化学,Advanced Polymer Chemistry,专业核心课,高分子化学与物理,80/5.0,"张辽云,杨士勇",化学科学学院
105,041M4009H,高等高分子物理,Advanced Polymer Physics,专业核心课,高分子化学与物理,72/5.0,"郭洪霞,赵江",化学研究所
106,041M4010H,配位化学,Coordination Chemistry,专业核心课,无机化学,60/4.0,高丽华,其它
107,041M4011H,化学热力学,Chemical Thermodynamics,专业核心课,物理化学,50/3.0,"郭源,边文生",化学研究所
108,041M4012H,化学反应动力学,Kinetics of Chemical Reaction,专业核心课,物理化学,50/3.0,陈波珍,化学科学学院
109,041M4013H,量子化学,Quantum Chemistry,专业核心课,物理化学,50/3.0,汪志祥,化学科学学院
110,041M5001H,化学与生物传感分析,Chem-and Bio-sensing Analysis,专业普及课,分析化学,46/3.0,"王铁,马会民",化学研究所
111,041M5003H,质谱分析,Mass Spectrometry,专业普及课,分析化学,50/3.0,"赵镇文,聂宗秀",化学研究所
112,041M5004H,有机光化学,Organic Photochemistry,专业普及课,有机化学,50/3.0,"李嫕,陈懿",理化技术研究所
113,041M5007H-1,有机结构分析,Organic Structural Analysis,专业普及课,有机化学,60/4.0,"王德先,向俊锋",化学研究所
114,041M5007H-2,有机结构分析,Organic Structural Analysis,专业普及课,有机化学,60/4.0,"徐伟,齐婷",化学科学学院
